antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"['Nghìn Lẻ Một Đêm - 1001 đêm', 'Dấu Chân Trên Cát', 'Muôn Kiếp Nhân Sinh - Tập 1']",['Thần Thoại Hy Lạp'],0.01597444089456869,0.025559105431309903,0.012779552715654952,0.8,31.300000000000004,0.012371260296624442,4.8722044728434515
"['Nghìn Lẻ Một Đêm - 1001 đêm', 'Dấu Chân Trên Cát']","['Thần Thoại Hy Lạp', 'Muôn Kiếp Nhân Sinh - Tập 1']",0.01597444089456869,0.025559105431309903,0.012779552715654952,0.8,31.300000000000004,0.012371260296624442,4.8722044728434515
"['Nghìn Lẻ Một Đêm - 1001 đêm', 'Dấu Chân Trên Cát']",['Thần Thoại Hy Lạp'],0.01597444089456869,0.025559105431309903,0.012779552715654952,0.8,31.300000000000004,0.012371260296624442,4.8722044728434515
['Thần Thoại Hy Lạp'],"['Nghìn Lẻ Một Đêm - 1001 đêm', 'Dấu Chân Trên Cát']",0.025559105431309903,0.01597444089456869,0.012779552715654952,0.5,31.3,0.012371260296624442,1.9680511182108626
"['Thần Thoại Hy Lạp', 'Muôn Kiếp Nhân Sinh - Tập 1']","['Nghìn Lẻ Một Đêm - 1001 đêm', 'Dấu Chân Trên Cát']",0.025559105431309903,0.01597444089456869,0.012779552715654952,0.5,31.3,0.012371260296624442,1.9680511182108626
['Thần Thoại Hy Lạp'],"['Nghìn Lẻ Một Đêm - 1001 đêm', 'Dấu Chân Trên Cát', 'Muôn Kiếp Nhân Sinh - Tập 1']",0.025559105431309903,0.01597444089456869,0.012779552715654952,0.5,31.3,0.012371260296624442,1.9680511182108626
"['Minh Triết Trong Đời Sống', 'Hoa Trôi Trên Sóng Nước']","['Trở về từ xứ tuyết', 'Cởi Trói Linh Hồn']",0.022364217252396165,0.019169329073482427,0.012779552715654952,0.5714285714285714,29.80952380952381,0.012350845675672916,2.288604898828541
"['Trở về từ xứ tuyết', 'Cởi Trói Linh Hồn']","['Minh Triết Trong Đời Sống', 'Hoa Trôi Trên Sóng Nước']",0.019169329073482427,0.022364217252396165,0.012779552715654952,0.6666666666666666,29.80952380952381,0.012350845675672916,2.932907348242811
"['Minh Triết Trong Đời Sống', 'Cởi Trói Linh Hồn']","['Trở về từ xứ tuyết', 'Hoa Trôi Trên Sóng Nước']",0.022364217252396165,0.025559105431309903,0.012779552715654952,0.5714285714285714,22.357142857142858,0.012207943329012238,2.273695420660277
"['Minh Triết Trong Đời Sống', 'Trở về từ xứ tuyết']","['Hành Trình Về Phương Đông', 'Cởi Trói Linh Hồn']",0.04472843450479233,0.012779552715654952,0.012779552715654952,0.2857142857142857,22.357142857142858,0.012207943329012238,1.382108626198083
"['Minh Triết Trong Đời Sống', 'Trở về từ xứ tuyết']","['Hoa Trôi Trên Sóng Nước', 'Cởi Trói Linh Hồn']",0.04472843450479233,0.012779552715654952,0.012779552715654952,0.2857142857142857,22.357142857142858,0.012207943329012238,1.382108626198083
"['Hành Trình Về Phương Đông', 'Cởi Trói Linh Hồn']","['Minh Triết Trong Đời Sống', 'Trở về từ xứ tuyết']",0.012779552715654952,0.04472843450479233,0.012779552715654952,1.0,22.357142857142858,0.012207943329012238,inf
"['Trở về từ xứ tuyết', 'Hoa Trôi Trên Sóng Nước']","['Minh Triết Trong Đời Sống', 'Cởi Trói Linh Hồn']",0.025559105431309903,0.022364217252396165,0.012779552715654952,0.5,22.357142857142858,0.012207943329012238,1.9552715654952078
"['Hoa Trôi Trên Sóng Nước', 'Cởi Trói Linh Hồn']","['Minh Triết Trong Đời Sống', 'Trở về từ xứ tuyết']",0.012779552715654952,0.04472843450479233,0.012779552715654952,1.0,22.357142857142858,0.012207943329012238,inf
"['Dấu Chân Trên Cát', 'Không Diệt Không Sinh Đừng Sợ Hãi - Thích Nhất Hạnh', 'Muôn Kiếp Nhân Sinh - Tập 1']",['Sự Sống Bất Tử'],0.022364217252396165,0.025559105431309903,0.012779552715654952,0.5714285714285714,22.357142857142858,0.012207943329012238,2.273695420660277
['Sự Sống Bất Tử'],"['Dấu Chân Trên Cát', 'Không Diệt Không Sinh Đừng Sợ Hãi - Thích Nhất Hạnh', 'Muôn Kiếp Nhân Sinh - Tập 1']",0.025559105431309903,0.022364217252396165,0.012779552715654952,0.5,22.357142857142858,0.012207943329012238,1.9552715654952078
['Hoa Trôi Trên Sóng Nước'],"['Minh Triết Trong Đời Sống', 'Trở về từ xứ tuyết', 'Cởi Trói Linh Hồn']",0.038338658146964855,0.01597444089456869,0.012779552715654952,0.3333333333333333,20.866666666666667,0.012167114087109188,1.4760383386581468
"['Minh Triết Trong Đời Sống', 'Trở về từ xứ tuyết', 'Cởi Trói Linh Hồn']",['Hoa Trôi Trên Sóng Nước'],0.01597444089456869,0.038338658146964855,0.012779552715654952,0.8,20.866666666666667,0.012167114087109188,4.808306709265176
"['Minh Triết Trong Đời Sống', 'Trở về từ xứ tuyết', 'Hoa Trôi Trên Sóng Nước']",['Cởi Trói Linh Hồn'],0.019169329073482427,0.03194888178913738,0.012779552715654952,0.6666666666666666,20.866666666666667,0.012167114087109188,2.9041533546325877
['Cởi Trói Linh Hồn'],"['Minh Triết Trong Đời Sống', 'Trở về từ xứ tuyết', 'Hoa Trôi Trên Sóng Nước']",0.03194888178913738,0.019169329073482427,0.012779552715654952,0.4,20.866666666666667,0.012167114087109188,1.6347177848775294
